CID,Time,Text,Platform,
1.01470666678328E+018,2018-07-05 03:04 +0000,@WeHearPodcast Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470656896794E+018,2018-07-05 03:04 +0000,@kjhedgecock @Macys @WestPoint_USMA Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470652468446E+018,2018-07-05 03:04 +0000,@MonsoonPuma Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470640131748E+018,2018-07-05 03:03 +0000,@fishermarketin1 @kellyclarkson @nbc @Macys @USArmy @WestPoint_USMA Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470632563963E+018,2018-07-05 03:03 +0000,@CarpealltheDiem Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470622217037E+018,2018-07-05 03:03 +0000,@CatRunLizGOP Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470617702695E+018,2018-07-05 03:02 +0000,@GeorgeJeanette @kelly_clarkson Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470613934536E+018,2018-07-05 03:02 +0000,@tasteasyougo @WestPoint_USMA Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470608018057E+018,2018-07-05 03:02 +0000,@hoovitude Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470603298621E+018,2018-07-05 03:02 +0000,@JeanetteABurns @WestPoint_USMA Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.0147059422549E+018,2018-07-05 03:02 +0000,@BSNNP07 Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470586872473E+018,2018-07-05 03:01 +0000,@JoeLishok Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470571117405E+018,2018-07-05 03:01 +0000,@CorporationDom Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470556094666E+018,2018-07-05 03:00 +0000,@annberger2 Thank you so much! Happy 4th of July! 🇺🇸,Twitter,
1.0147054865355E+018,2018-07-05 03:00 +0000,@DemilleSarah Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.0147051542963E+018,2018-07-05 02:58 +0000,@Atroarturo Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01464238180161E+018,2018-07-04 22:49 +0000,"B/c when you’re backing a 🌠 like @KellyClarkson, you better make sure you’re on point! Warming up for the #MacysFireworks show. Catch it live tonight 8pm ET/PT on @NBC. 

And yes, we really are playing with Kelly—&amp; we can’t wait!

@Macys @USArmy @WestPoint_USMA @WestPointParents https://t.co/5XUODP7Cc3",Twitter,
1.01460075037326E+018,2018-07-04 20:04 +0000,"We’re on the ground in #NYC for the #MacysFireworks show! It all starts tonight at 8:00 p.m. on @NBC.

Watch live: https://t.co/xehZna9jC3

Follow us:
https://t.co/nRmL0GDdna 
https://t.co/d1JnsnP7bo https://t.co/bjgoaUZnN3",Twitter,
1.01448787482418E+018,2018-07-04 12:35 +0000,"Catch the Hellcats this morning on @fox5ny for a sneak peek of tonight’s #MacysFireworks show! @Macys 

And keep an eye on our feed all day this #FourthofJuly2018 for behind-the-scenes updates from the big show! 

Happy #IndependenceDay! https://t.co/GadaJrQoJk",Twitter,
1.01421600986196E+018,2018-07-03 18:35 +0000,"#FourthofJuly comes early this year! The @BennyHavensBand plus an awesome fireworks show, both completely FREE, tonight in White Plains. 

More info here: https://t.co/EuCId1aCP2 https://t.co/uBDjQYSmRh",Twitter,
1.0139089649779E+018,2018-07-02 22:15 +0000,"Reporting to the Plain to help #USMA2022 show off their new home, precision marching skills, and—of course— fresh ‘dos 💇‍♂️ to some very proud @WestPointParents. Welcome to the @WestPoint_USMA family! #RDay https://t.co/xiSbpIFQoO",Twitter,
1.01348240514174E+018,2018-07-01 18:00 +0000,"#SundaySalute — tell us your branch and when you served. Thank you for your service!

#ArmyStrong at @WestPoint_USMA https://t.co/eyOZU47vu1",Twitter,
1.01319561143955E+018,2018-06-30 23:00 +0000,"We're going #LIVE from #TrophyPoint in just 30 minutes for a @WestPoint_USMA Block Party!

https://t.co/YgiDFMGLdp",Twitter,
1.01273878052305E+018,2018-06-29 16:45 +0000,"Keep that flag flying high 🇺🇸 and enjoy this patriotic medley, #LIVE from our bicentennial gala!

""The Spirit of America,"" arr. Sgt. Maj. Ret. Douglas Richard

https://t.co/sS6yLjowgd",Twitter,
1.01269751533278E+018,2018-06-29 14:01 +0000,"#FourthOfJuly is next week! Get in the patriotic spirit by celebrating the ""Spirit of America.""

Live from last year's bicentennial gala.

https://t.co/sS6yLjG77L",Twitter,
1.01240109743943E+018,2018-06-28 18:23 +0000,@Macys Cool! Not sure we need a reminder though 😉,Twitter,
1.01239529424656E+018,2018-06-28 18:00 +0000,"#TBT at #TrophyPoint: 4th of July, 1990.

Join us for the 2018 version: https://t.co/Fhod5ndFot https://t.co/cL724NnxOc",Twitter,
1.01233880881208E+018,2018-06-28 14:15 +0000,Make sure to tune in for our performance on @NBC for the @Macys Fireworks show! 🎇 https://t.co/0AgwsgbltF,Twitter,
1.01204601860151E+018,2018-06-27 18:52 +0000,"3. Every seat is the best seat.

So whether you’re watching the band front and center or dancing on the hilltop with your kiddos, #TrophyPoint is #onpoint 💯

Next concert: #WestPoint Block Party with the @BennyHavensBand this Saturday, 7:30 p.m.!

https://t.co/Yuu8ympbqN",Twitter,
1.01198029047298E+018,2018-06-27 14:31 +0000,"@uniformkrazie21 @BennyHavensBand It will be streamed online here: 
https://t.co/YgiDFMGLdp

Hope you can tune in!",Twitter,
,,"RT @nikkihaley: RT @USUN: We had a wonderful time hosting our international colleagues for America’s birthday celebration. The West Point Band, beautiful views, and amazing fireworks made for a perfect night. 🇺🇸 https://t.co/Xhvgw16G6t",Twitter,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,"So happy to be back at West Point now, where the West Point Band continues its free ""Music Under the Stars Concert Series"" with the music of John Williams, featuring some of the best… https://t.co/679i8I8RFZ",Twitter,
,,"If you can’t be here in person, join the West Point Band via livestream from Eisenhower Hall Theatre at West Point for their concert featuring the “Music of John Williams”. https://t.co/tw3iNlXmVa",Twitter,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
,,"RT @WestPoint_USMA: Join the West Point Band at 7:30 p.m. tonight at Trophy Point as it continues its 2018 Music Under the Stars concert series with ""The Music of John Williams.""

The concert is free and open to the public. https://t.co/FbCDPJJMpg",Twitter,
